满五唯一3+1户型，钥匙在手随时可以看房|中悦领秀城 -暮云|80万|6,632元/平
梅溪湖金茂湾 3室1厅 南|梅溪湖金茂湾 -梅溪湖南岸|178万|16,683元/平
万科魅力之城 4室2厅 西南|万科魅力之城 -武广新城|190万|15,061元/平
大阳台，一线浏阳河河景，红本在手，自住装修。|万科城二期B区 -福元西路|108万|12,247元/平
万家城 安静不吵 南北对流三房|万家城 -武广新城|130万|10,914元/平
拎包入住，房屋保养好，业主诚心出售！|融科东南海 -树木岭|188万|13,533元/平
4号线地铁口，电梯小洋房，诚意出售|岳麓区检察院宿舍 -滨江新城|147万|10,020元/平
湘诚德峰小区 3室2厅 南 北|湘诚德峰小区 -金霞|108万|8,721元/平
2020年品牌 自住精装 南北对流 户型 可拎包入住|佳兆业君汇上品 -跳马|102万|7,615元/平
经典大户型，高楼层视野好，南北通透采光充足，性价高|北辰三角洲奥城E5区 -北辰三角洲|218万|16,169元/平
装修9成新，带地下室，带前后花园|水云间 -尚东|400万|19,719元/平
紫台C 270度L形观景阳台江天大平层|万科紫台 -新开铺|570万|22,681元/平
楼层好，视野好，诚意出售 可以随时过户|金茂悦 -梅溪湖北岸|228万|17,478元/平
化工医药设计院宿舍 2室2厅 南 北|化工医药设计院宿舍 -雨花亭|62万|9,653元/平
高桥商圈，精装两房，南北通透，中间楼层，诚心出售|一品东庭 -高桥|73.8万|9,478元/平
次新小区缔壹城 空气对流 绿化好|奥克斯缔壹城 -雷锋大道|102.5万|11,161元/平
优质两房，满五唯一，松雅湖边湖景两房，阳光充足！|水岸世景 -开元路|55万|7,816元/平
未来蜂巢三室两厅 单价6字头 产权证在手|未来蜂巢 -泉塘|78万|6,105元/平
不限！满五省税！地铁口南北通透紧凑小三房！|中信凯旋蓝岸 -省政府|62.5万|6,882元/平
可以看全景西湖公园和岳麓山   精装修保养好 满五唯一|西山汇景 -桐梓坡|305万|18,480元/平
梅溪青秀一期四房两厅两卫房子对外出售|中国铁建梅溪青秀一期 -梅溪湖北岸|215万|17,926元/平
华韵城市海岸 3室2厅 南|华韵城市海岸 -银盆岭|188万|16,341元/平
全新新中式装修 带空调 全套家具家电 拎包入住|湘江雅颂居 -新开铺|268万|19,765元/平
地铁口精装大四房，采光很好，位置安静|中城丽景香山 -武广新城|230万|15,099元/平
